,Time,"#1 (10, 1) <tau> 13.41","#2 (20, 1) <tau> 20.46","#3 (30, 1) <tau> 22.04","#4 (40, 1) <tau> 22.60","#5 (50, 1) <tau> 22.79","#6 (60, 1) <tau> 23.00","#7 (70, 1) <tau> 23.13","#8 (80, 1) <tau> 23.17","#9 (10, 2) <tau> 12.48","#10 (20, 2) <tau> 20.11","#11 (30, 2) <tau> 21.94","#12 (40, 2) <tau> 22.51","#13 (50, 2) <tau> 22.76","#14 (60, 2) <tau> 22.93","#15 (70, 2) <tau> 23.08","#16 (80, 2) <tau> 23.20","#17 (10, 3) <tau> 11.51","#18 (20, 3) <tau> 19.72","#19 (30, 3) <tau> 21.84","#20 (40, 3) <tau> 22.45","#21 (50, 3) <tau> 22.74","#22 (60, 3) <tau> 22.93","#23 (70, 3) <tau> 23.01","#24 (80, 3) <tau> 23.17","#25 (10, 4) <tau> 10.47","#26 (20, 4) <tau> 19.30","#27 (30, 4) <tau> 21.64","#28 (40, 4) <tau> 22.40","#29 (50, 4) <tau> 22.69","#30 (60, 4) <tau> 22.87","#31 (70, 4) <tau> 23.03","#32 (80, 4) <tau> 23.17","#33 (10, 6) <tau> 8.41","#34 (20, 6) <tau> 17.99","#35 (30, 6) <tau> 21.24","#36 (40, 6) <tau> 22.19","#37 (50, 6) <tau> 22.64","#38 (60, 6) <tau> 22.88","#39 (70, 6) <tau> 22.99","#40 (80, 6) <tau> 23.09","#41 (10, 7) <tau> 7.37","#42 (20, 7) <tau> 17.19","#43 (30, 7) <tau> 20.93","#44 (40, 7) <tau> 22.05","#45 (50, 7) <tau> 22.56","#46 (60, 7) <tau> 22.82","#47 (70, 7) <tau> 23.01","#48 (80, 7) <tau> 23.10","#49 (10, 8) <tau> 6.35","#50 (20, 8) <tau> 16.27","#51 (30, 8) <tau> 20.53","#52 (40, 8) <tau> 21.88","#53 (50, 8) <tau> 22.42","#54 (60, 8) <tau> 22.68","#55 (70, 8) <tau> 22.96","#56 (80, 8) <tau> 23.04","#57 (10, 10) <tau> 4.59","#58 (20, 10) <tau> 13.99","#59 (30, 10) <tau> 19.47","#60 (40, 10) <tau> 21.43","#61 (50, 10) <tau> 22.21","#62 (60, 10) <tau> 22.59","#63 (70, 10) <tau> 22.85","#64 (80, 10) <tau> 22.93"
0,0.5,0.116038,0.005242,0.00032,1e-05,0.0,2e-06,0.0,0.0,0.141494,0.007084,0.000434,3e-05,2e-06,0.0,0.0,0.0,0.171874,0.009516,0.000624,5.2e-05,0.0,0.0,0.0,0.0,0.208836,0.01278,0.000766,8.2e-05,0.0,4e-06,0.0,0.0,0.302132,0.024202,0.001678,0.00016,1.4e-05,2e-06,0.0,0.0,0.3597,0.033316,0.002602,0.000236,1.8e-05,2e-06,0.0,0.0,0.422916,0.046328,0.003974,0.00039,5.2e-05,6e-06,0.0,0.0,0.55961,0.086824,0.00929,0.001072,0.000152,2.2e-05,2e-06,0.0
1,1.5,0.067354,0.015382,0.003726,0.001194,0.000408,0.000148,6.6e-05,5.2e-05,0.072626,0.017746,0.004348,0.001366,0.00049,0.000242,9.4e-05,8.2e-05,0.078408,0.021018,0.005074,0.001632,0.00063,0.00027,0.00013,7.8e-05,0.08372,0.025084,0.006386,0.001822,0.00072,0.000308,0.00013,7.6e-05,0.093722,0.036074,0.009422,0.002978,0.001136,0.000472,0.000224,0.000104,0.096276,0.043348,0.011814,0.00372,0.00138,0.000606,0.000296,0.000136,0.097334,0.051608,0.015058,0.004754,0.001678,0.000736,0.000316,0.000188,0.092416,0.071098,0.024586,0.008284,0.002854,0.001172,0.000538,0.000258
2,2.5,0.03826,0.01571,0.007412,0.00433,0.002932,0.002014,0.001404,0.001036,0.040236,0.017292,0.008322,0.00466,0.002906,0.00216,0.001546,0.001038,0.042792,0.019276,0.008834,0.005108,0.003272,0.002282,0.001716,0.00123,0.04459,0.02144,0.009972,0.005444,0.003456,0.002394,0.001756,0.001338,0.046332,0.02616,0.012054,0.006674,0.004332,0.00287,0.002012,0.001362,0.046024,0.02957,0.014046,0.007318,0.004506,0.003144,0.002124,0.001686,0.045772,0.03292,0.01592,0.008638,0.005264,0.003518,0.002372,0.001688,0.042348,0.040598,0.021314,0.011216,0.006712,0.004382,0.002964,0.002144
3,3.5,0.023412,0.01438,0.00978,0.00745,0.006136,0.005196,0.004626,0.004028,0.024364,0.014832,0.009828,0.007462,0.006284,0.00519,0.004642,0.00408,0.025094,0.015848,0.010214,0.00781,0.006386,0.005316,0.004694,0.004218,0.025446,0.016832,0.010966,0.007932,0.006752,0.005502,0.004834,0.004188,0.025332,0.01895,0.012346,0.008982,0.007194,0.006028,0.00512,0.00449,0.025558,0.020764,0.013068,0.009516,0.007644,0.006098,0.005322,0.00475,0.024276,0.021586,0.014482,0.010134,0.007826,0.006478,0.00522,0.00469,0.02188,0.02501,0.01701,0.011758,0.009066,0.007172,0.00592,0.005186
4,4.5,0.016488,0.012654,0.010608,0.009448,0.008192,0.008004,0.007256,0.00685,0.01633,0.013288,0.010772,0.009374,0.008652,0.007842,0.007242,0.006992,0.016604,0.013652,0.01059,0.009574,0.008598,0.008056,0.00726,0.00709,0.016864,0.013638,0.011244,0.00997,0.008718,0.00835,0.007474,0.007044,0.0159,0.015244,0.011806,0.009886,0.008954,0.008216,0.008038,0.007392,0.015724,0.015638,0.012396,0.010254,0.009008,0.00855,0.007656,0.007372,0.014736,0.01615,0.012742,0.01061,0.009608,0.008496,0.007958,0.007498,0.012798,0.016734,0.014122,0.011476,0.010148,0.00903,0.008432,0.007784
5,5.5,0.012592,0.01192,0.010682,0.010298,0.009836,0.009534,0.009052,0.008926,0.012508,0.011894,0.010948,0.010362,0.009604,0.009356,0.009044,0.00875,0.012354,0.01239,0.011146,0.010494,0.009864,0.009672,0.009326,0.009074,0.01205,0.012446,0.01107,0.01038,0.010314,0.009686,0.009312,0.008938,0.011692,0.012722,0.01153,0.010484,0.010196,0.009636,0.009468,0.009282,0.01074,0.012634,0.011878,0.010986,0.010232,0.00991,0.009212,0.009204,0.010264,0.01316,0.01209,0.011094,0.010506,0.009934,0.009714,0.009238,0.008408,0.013042,0.012048,0.011332,0.010772,0.010152,0.009882,0.009398
6,6.5,0.01045,0.011582,0.01082,0.01062,0.010718,0.010408,0.010308,0.010066,0.010768,0.011546,0.011116,0.010758,0.010628,0.010394,0.010184,0.010318,0.010138,0.011456,0.011184,0.010716,0.010514,0.010346,0.010246,0.009994,0.01001,0.011538,0.01118,0.01098,0.010578,0.01063,0.01009,0.010168,0.008984,0.011576,0.0113,0.01089,0.010426,0.0103,0.010156,0.010386,0.008494,0.011632,0.011076,0.01092,0.010704,0.010266,0.010242,0.010112,0.008038,0.01158,0.011498,0.011224,0.010886,0.01044,0.010428,0.010526,0.006122,0.01095,0.011388,0.011238,0.010914,0.010604,0.010564,0.010514
7,7.5,0.009672,0.010856,0.010968,0.010748,0.010906,0.010732,0.010724,0.010732,0.00944,0.011142,0.011228,0.010796,0.010798,0.010928,0.010686,0.010528,0.00923,0.01095,0.01121,0.010762,0.01067,0.010746,0.010888,0.010542,0.009058,0.010812,0.011176,0.011062,0.010992,0.01074,0.010434,0.011028,0.007896,0.011004,0.01089,0.011242,0.010786,0.010664,0.01084,0.010774,0.007432,0.01068,0.010884,0.010874,0.010964,0.01083,0.01081,0.010798,0.006594,0.010512,0.010774,0.01095,0.010884,0.010912,0.010758,0.010796,0.005258,0.010028,0.011014,0.010892,0.010592,0.010964,0.01095,0.010786
8,8.5,0.009462,0.01104,0.01118,0.010954,0.0112,0.010918,0.010964,0.010852,0.008902,0.010928,0.011198,0.010664,0.010904,0.011112,0.010948,0.010784,0.008508,0.010824,0.01108,0.01103,0.011164,0.01099,0.010972,0.010914,0.008162,0.010714,0.010804,0.010908,0.011018,0.01096,0.010926,0.010702,0.007356,0.010316,0.010768,0.010958,0.01089,0.01106,0.010672,0.010818,0.006506,0.01029,0.010804,0.010936,0.011048,0.01106,0.010926,0.010726,0.005954,0.01006,0.010824,0.011008,0.0112,0.011042,0.01088,0.011244,0.004824,0.009754,0.010668,0.010786,0.01131,0.010804,0.01095,0.011074
9,9.5,0.009106,0.010758,0.01095,0.01109,0.010952,0.01064,0.01104,0.011142,0.008514,0.010812,0.01076,0.010944,0.01125,0.011062,0.011134,0.010808,0.00834,0.010816,0.011102,0.011166,0.011064,0.010746,0.010932,0.011082,0.007838,0.010628,0.011032,0.01111,0.010964,0.01103,0.010802,0.010978,0.00677,0.01048,0.01084,0.011178,0.011114,0.011138,0.011098,0.011192,0.00617,0.010066,0.01089,0.010946,0.011076,0.010928,0.010764,0.011196,0.005708,0.009526,0.010766,0.011048,0.011198,0.010796,0.01102,0.011138,0.004578,0.009006,0.010428,0.010812,0.011006,0.010946,0.01097,0.011384
10,10.5,0.00852,0.010576,0.010872,0.010968,0.010952,0.011038,0.010844,0.010964,0.008602,0.01044,0.011046,0.010926,0.0112,0.010932,0.01096,0.01091,0.008,0.010454,0.010584,0.010958,0.011194,0.011112,0.011148,0.011032,0.007532,0.010214,0.010956,0.010996,0.011052,0.011014,0.011168,0.011236,0.006878,0.009936,0.010806,0.010816,0.010698,0.010906,0.01108,0.011068,0.006166,0.01008,0.010644,0.01105,0.010864,0.010728,0.010938,0.011182,0.005484,0.00934,0.010812,0.010804,0.011096,0.011182,0.011012,0.010918,0.004314,0.00897,0.010474,0.010662,0.010846,0.011064,0.010922,0.011058
11,11.5,0.00879,0.010704,0.010936,0.010712,0.01104,0.010976,0.010864,0.010868,0.008352,0.010792,0.010716,0.010728,0.010952,0.01091,0.011112,0.011246,0.008056,0.01036,0.01065,0.010834,0.011136,0.010934,0.010952,0.010978,0.007518,0.010624,0.010856,0.01089,0.010862,0.010856,0.01098,0.010984,0.006604,0.009958,0.010456,0.010784,0.010854,0.010702,0.011,0.01098,0.0059,0.009864,0.010504,0.010696,0.010696,0.011058,0.01102,0.010914,0.005486,0.00982,0.010446,0.01077,0.010632,0.011084,0.010856,0.011008,0.004218,0.008936,0.009992,0.010676,0.01058,0.010836,0.01094,0.010778
12,12.5,0.008336,0.010702,0.010752,0.011002,0.010748,0.01058,0.010702,0.010926,0.008094,0.010358,0.01102,0.01077,0.010734,0.010956,0.010872,0.01102,0.007796,0.010246,0.010548,0.010712,0.010792,0.01087,0.0112,0.010916,0.007436,0.009992,0.01078,0.011006,0.010704,0.010878,0.011088,0.010794,0.006586,0.01013,0.01043,0.011006,0.010674,0.010948,0.01091,0.010762,0.006036,0.009828,0.010436,0.010622,0.010828,0.010708,0.011024,0.011248,0.005458,0.009544,0.010326,0.010576,0.01057,0.011102,0.010964,0.010784,0.00407,0.008708,0.010244,0.010692,0.010918,0.010858,0.010738,0.011106
13,13.5,0.008644,0.01035,0.010776,0.0106,0.010958,0.011008,0.01087,0.010832,0.00834,0.010044,0.01038,0.010978,0.01071,0.010654,0.010718,0.010882,0.008144,0.010198,0.010732,0.010568,0.010946,0.01087,0.010842,0.010978,0.00751,0.01001,0.010504,0.01061,0.010816,0.010828,0.010788,0.01075,0.006556,0.009496,0.010654,0.010686,0.011018,0.010904,0.010704,0.010688,0.005778,0.009634,0.01036,0.01067,0.010742,0.010924,0.010766,0.011148,0.005614,0.009304,0.01044,0.010528,0.010744,0.010736,0.010756,0.010938,0.004126,0.008886,0.010166,0.01085,0.010746,0.01067,0.010862,0.01086
14,14.5,0.008418,0.010114,0.010474,0.010728,0.01081,0.010684,0.01071,0.010906,0.00805,0.01022,0.010658,0.01074,0.010524,0.0107,0.010648,0.010968,0.007768,0.010242,0.0108,0.010808,0.010288,0.01096,0.010842,0.010968,0.007522,0.009826,0.01053,0.010758,0.010752,0.010636,0.010658,0.01096,0.006572,0.009482,0.010546,0.010832,0.01086,0.010876,0.010738,0.010962,0.005866,0.00949,0.010562,0.010638,0.010716,0.010724,0.010692,0.01062,0.005246,0.00932,0.010302,0.010846,0.01068,0.010796,0.010646,0.010766,0.004132,0.008666,0.010156,0.010542,0.010688,0.010842,0.010902,0.010578
15,15.5,0.008508,0.01021,0.010284,0.010546,0.010668,0.010958,0.010446,0.010748,0.008152,0.010296,0.010624,0.010494,0.010578,0.010994,0.010724,0.010456,0.007658,0.010316,0.010226,0.010678,0.010666,0.010512,0.01069,0.010748,0.007362,0.009708,0.010554,0.010604,0.01079,0.010596,0.010788,0.010684,0.006588,0.009866,0.010422,0.010634,0.010496,0.01059,0.010658,0.010534,0.005984,0.009398,0.0102,0.010512,0.01075,0.010566,0.010564,0.010716,0.005384,0.0094,0.009886,0.010276,0.010612,0.01083,0.010666,0.010886,0.00412,0.008454,0.009644,0.010332,0.010458,0.010708,0.010522,0.010886
16,16.5,0.00837,0.010112,0.01066,0.0108,0.010734,0.010572,0.010772,0.010726,0.008074,0.010172,0.010424,0.01058,0.010724,0.010652,0.010688,0.010766,0.007424,0.010056,0.010324,0.010292,0.010376,0.01082,0.010658,0.010622,0.007284,0.00986,0.010644,0.010458,0.010562,0.010732,0.010784,0.010606,0.00632,0.0097,0.010284,0.010338,0.010632,0.010668,0.010506,0.010642,0.005872,0.00962,0.010164,0.01043,0.010476,0.010706,0.01044,0.010374,0.005192,0.009348,0.01012,0.01032,0.010586,0.010718,0.010642,0.010816,0.00402,0.008424,0.01007,0.010564,0.010386,0.010678,0.01048,0.010456
17,17.5,0.008478,0.009984,0.01037,0.010588,0.010622,0.010416,0.010754,0.010786,0.008106,0.010004,0.010348,0.010622,0.010652,0.010802,0.010708,0.010428,0.007658,0.009804,0.010236,0.010164,0.010618,0.010516,0.0107,0.0103,0.007166,0.009798,0.010274,0.010378,0.010304,0.010698,0.010858,0.010666,0.006434,0.009334,0.01004,0.010396,0.010308,0.010396,0.010804,0.010696,0.005876,0.009328,0.010074,0.010274,0.010576,0.010662,0.010562,0.01045,0.005082,0.009186,0.010248,0.010766,0.010152,0.010408,0.010568,0.010528,0.004074,0.008312,0.010068,0.010148,0.010302,0.010434,0.010326,0.01047
18,18.5,0.008294,0.010072,0.010302,0.01045,0.010548,0.010368,0.010636,0.010718,0.007886,0.010078,0.010474,0.010454,0.010662,0.010538,0.01052,0.010522,0.007652,0.009932,0.010596,0.01015,0.010508,0.010334,0.010428,0.010444,0.00718,0.009752,0.010166,0.010346,0.010464,0.010514,0.010618,0.010516,0.00641,0.009368,0.010304,0.01026,0.01028,0.01042,0.010478,0.010436,0.005514,0.008994,0.00999,0.010408,0.01038,0.010392,0.010312,0.010524,0.005042,0.009036,0.010128,0.01024,0.010522,0.010352,0.010648,0.010384,0.003952,0.008052,0.009964,0.01005,0.010192,0.010206,0.010246,0.010424
19,19.5,0.008318,0.01022,0.010192,0.010286,0.010506,0.010214,0.01039,0.01035,0.008116,0.00991,0.009972,0.010362,0.010346,0.010686,0.010322,0.01086,0.007696,0.009654,0.010458,0.010272,0.01039,0.010376,0.010362,0.010314,0.007174,0.009764,0.010042,0.010428,0.010382,0.010416,0.010498,0.010644,0.006122,0.009462,0.010404,0.010296,0.01061,0.010348,0.01057,0.010178,0.005736,0.009246,0.010038,0.010264,0.010262,0.01034,0.010368,0.01035,0.00518,0.009078,0.010018,0.010264,0.01006,0.010424,0.010574,0.010538,0.003778,0.008494,0.00988,0.010078,0.010412,0.010756,0.010316,0.010552
20,20.5,0.008064,0.009952,0.01037,0.01045,0.010368,0.010552,0.010308,0.010536,0.007612,0.009768,0.01011,0.01009,0.010386,0.010458,0.010256,0.010122,0.00745,0.009706,0.010212,0.01012,0.010452,0.010512,0.010266,0.010546,0.007054,0.009974,0.010174,0.010284,0.010488,0.010592,0.010292,0.01024,0.00614,0.009394,0.010176,0.010376,0.010212,0.010496,0.010462,0.010254,0.005748,0.009104,0.00994,0.010102,0.010322,0.01024,0.010398,0.010454,0.0052,0.00889,0.010128,0.009972,0.010198,0.010418,0.010374,0.010328,0.004098,0.008464,0.009606,0.010184,0.010388,0.010284,0.010258,0.010272
21,21.5,0.007856,0.009824,0.010358,0.01027,0.010154,0.010148,0.010234,0.010022,0.007948,0.009808,0.010088,0.01033,0.010278,0.010378,0.010432,0.010318,0.00741,0.0095,0.010038,0.01033,0.010386,0.010366,0.010358,0.010218,0.007052,0.009774,0.010036,0.01019,0.010224,0.010136,0.010286,0.010126,0.006158,0.0094,0.010162,0.010028,0.010174,0.01032,0.010588,0.010242,0.005728,0.009134,0.01002,0.01026,0.010248,0.010232,0.01036,0.010382,0.005262,0.008998,0.00984,0.0099,0.010056,0.010254,0.010084,0.009974,0.00407,0.00827,0.009612,0.010056,0.0103,0.010178,0.010068,0.010108
